"mod_name","predic","respon","f_stat","dof_lo","dof_hi","p_stat","r2_stat"
"bchave_log_std_vs_cation_ex_cap_std","cation_ex_cap_std","bchave_log_std",4.31,1,1882,"<0.05",0.002
"bchave_log_std_vs_ocdens_std","ocdens_std","bchave_log_std",131.38,1,1882,"<0.05",0.065
"bchave_log_std_vs_cov_dbh_std","cov_dbh_std","bchave_log_std",457.31,1,1862,"<0.05",0.197
"bchave_log_std_vs_cov_height_std","cov_height_std","bchave_log_std",142.97,1,1398,"<0.05",0.093
"bchave_log_std_vs_shannon_cube_std","shannon_cube_std","bchave_log_std",108.7,1,1782,"<0.05",0.057
"bchave_log_std_vs_shannon_equit_std","shannon_equit_std","bchave_log_std",139.68,1,1593,"<0.05",0.081
"bchave_log_std_vs_sp_rich_raref_std","sp_rich_raref_std","bchave_log_std",57.92,1,1618,"<0.05",0.035
"bchave_log_std_vs_fire_return_mean_log_std","fire_return_mean_log_std","bchave_log_std",3.46,1,1189,"0.063",0.003
"bchave_log_std_vs_aridity_index_std","aridity_index_std","bchave_log_std",77.94,1,1882,"<0.05",0.04
"bchave_log_std_vs_mean_temp_std","mean_temp_std","bchave_log_std",10.4,1,1882,"<0.05",0.005
"bchave_log_std_vs_temp_seasonality_std","temp_seasonality_std","bchave_log_std",17.63,1,1882,"<0.05",0.009
"bchave_log_std_vs_isothermality_std","isothermality_std","bchave_log_std",3.9,1,1882,"<0.05",0.002
"bchave_log_std_vs_total_precip_std","total_precip_std","bchave_log_std",81.62,1,1882,"<0.05",0.042
"bchave_log_std_vs_precip_seasonality_std","precip_seasonality_std","bchave_log_std",24.95,1,1882,"<0.05",0.013
"bchave_log_std_vs_stems_ha_log_std","stems_ha_log_std","bchave_log_std",1023.29,1,1882,"<0.05",0.352
"cov_height_std_vs_cation_ex_cap_std","cation_ex_cap_std","cov_height_std",2.54,1,1398,"0.111",0.002
"cov_height_std_vs_aridity_index_std","aridity_index_std","cov_height_std",91.81,1,1398,"<0.05",0.062
"cov_height_std_vs_fire_return_mean_log_std","fire_return_mean_log_std","cov_height_std",1.81,1,965,"0.179",0.002
"cov_height_std_vs_shannon_cube_std","shannon_cube_std","cov_height_std",16.66,1,1333,"<0.05",0.012
"cov_height_std_vs_shannon_equit_std","shannon_equit_std","cov_height_std",36.99,1,1172,"<0.05",0.031
"cov_height_std_vs_sp_rich_raref_std","sp_rich_raref_std","cov_height_std",72.97,1,1193,"<0.05",0.058
"cov_height_std_vs_ocdens_std","ocdens_std","cov_height_std",11.03,1,1398,"<0.05",0.008
"cov_dbh_std_vs_cation_ex_cap_std","cation_ex_cap_std","cov_dbh_std",112.31,1,1862,"<0.05",0.057
"cov_dbh_std_vs_aridity_index_std","aridity_index_std","cov_dbh_std",63.97,1,1862,"<0.05",0.033
"cov_dbh_std_vs_fire_return_mean_log_std","fire_return_mean_log_std","cov_dbh_std",2.28,1,1179,"0.131",0.002
"cov_dbh_std_vs_shannon_cube_std","shannon_cube_std","cov_dbh_std",22.29,1,1782,"<0.05",0.012
"cov_dbh_std_vs_shannon_equit_std","shannon_equit_std","cov_dbh_std",52.47,1,1593,"<0.05",0.032
"cov_dbh_std_vs_sp_rich_raref_std","sp_rich_raref_std","cov_dbh_std",26.25,1,1618,"<0.05",0.016
"cov_dbh_std_vs_ocdens_std","ocdens_std","cov_dbh_std",40.31,1,1862,"<0.05",0.021
