"mod_name","predic","respon","f_stat","dof_lo","dof_hi","p_stat","r2_stat"
"bchave_log_std_vs_cation_ex_cap_std","cation_ex_cap_std","bchave_log_std",4.37,1,372,"<0.05",0.012
"bchave_log_std_vs_ocdens_std","ocdens_std","bchave_log_std",64.31,1,372,"<0.05",0.147
"bchave_log_std_vs_cov_dbh_std","cov_dbh_std","bchave_log_std",79.22,1,372,"<0.05",0.176
"bchave_log_std_vs_cov_height_std","cov_height_std","bchave_log_std",0.03,1,150,"0.859",0
"bchave_log_std_vs_shannon_log_std","shannon_log_std","bchave_log_std",28.6,1,372,"<0.05",0.071
"bchave_log_std_vs_shannon_equit_log_std","shannon_equit_log_std","bchave_log_std",55.37,1,372,"<0.05",0.13
"bchave_log_std_vs_sp_rich_raref_log_std","sp_rich_raref_log_std","bchave_log_std",104.95,1,372,"<0.05",0.22
"bchave_log_std_vs_fire_return_mean_log_std","fire_return_mean_log_std","bchave_log_std",0.22,1,189,"0.636",0.001
"bchave_log_std_vs_aridity_index_std","aridity_index_std","bchave_log_std",14.6,1,372,"<0.05",0.038
"bchave_log_std_vs_mean_temp_std","mean_temp_std","bchave_log_std",38.1,1,372,"<0.05",0.093
"bchave_log_std_vs_temp_seasonality_log_std","temp_seasonality_log_std","bchave_log_std",1.92,1,372,"0.166",0.005
"bchave_log_std_vs_isothermality_std","isothermality_std","bchave_log_std",7.14,1,372,"<0.05",0.019
"bchave_log_std_vs_total_precip_std","total_precip_std","bchave_log_std",9.67,1,372,"<0.05",0.025
"bchave_log_std_vs_precip_seasonality_log_std","precip_seasonality_log_std","bchave_log_std",20.27,1,372,"<0.05",0.052
"bchave_log_std_vs_stems_ha_log_std","stems_ha_log_std","bchave_log_std",13.97,1,372,"<0.05",0.036
"cov_height_std_vs_cation_ex_cap_std","cation_ex_cap_std","cov_height_std",6.64,1,150,"<0.05",0.042
"cov_height_std_vs_aridity_index_std","aridity_index_std","cov_height_std",32.51,1,150,"<0.05",0.178
"cov_height_std_vs_fire_return_mean_log_std","fire_return_mean_log_std","cov_height_std",0.15,1,121,"0.699",0.001
"cov_height_std_vs_shannon_log_std","shannon_log_std","cov_height_std",14.87,1,150,"<0.05",0.09
"cov_height_std_vs_shannon_equit_log_std","shannon_equit_log_std","cov_height_std",1.8,1,150,"0.182",0.012
"cov_height_std_vs_sp_rich_raref_log_std","sp_rich_raref_log_std","cov_height_std",7.06,1,150,"<0.05",0.045
"cov_height_std_vs_ocdens_std","ocdens_std","cov_height_std",20.76,1,150,"<0.05",0.122
"cov_dbh_std_vs_cation_ex_cap_std","cation_ex_cap_std","cov_dbh_std",81.89,1,372,"<0.05",0.18
"cov_dbh_std_vs_aridity_index_std","aridity_index_std","cov_dbh_std",34.68,1,372,"<0.05",0.085
"cov_dbh_std_vs_fire_return_mean_log_std","fire_return_mean_log_std","cov_dbh_std",0.32,1,189,"0.572",0.002
"cov_dbh_std_vs_shannon_log_std","shannon_log_std","cov_dbh_std",7.33,1,372,"<0.05",0.019
"cov_dbh_std_vs_shannon_equit_log_std","shannon_equit_log_std","cov_dbh_std",9.45,1,372,"<0.05",0.025
"cov_dbh_std_vs_sp_rich_raref_log_std","sp_rich_raref_log_std","cov_dbh_std",20.12,1,372,"<0.05",0.051
"cov_dbh_std_vs_ocdens_std","ocdens_std","cov_dbh_std",18.62,1,372,"<0.05",0.048
