"mod_name","predic","respon","f_stat","t_stat","r2_stat"
"bchave_log_std_vs_cation_ex_cap_std","cation_ex_cap_std","bchave_log_std",6.5,2.55,0.024
"bchave_log_std_vs_ocdens_std","ocdens_std","bchave_log_std",104.29,10.21,0.131
"bchave_log_std_vs_cov_dbh_std","cov_dbh_std","bchave_log_std",211.27,14.54,0.223
"bchave_log_std_vs_cov_height_std","cov_height_std","bchave_log_std",20.23,4.5,0.114
"bchave_log_std_vs_shannon_cube_std","shannon_cube_std","bchave_log_std",15.87,-3.98,0.029
"bchave_log_std_vs_shannon_equit_std","shannon_equit_std","bchave_log_std",118.52,-10.89,0.12
"bchave_log_std_vs_sp_rich_raref_std","sp_rich_raref_std","bchave_log_std",29.43,5.42,0.05
"bchave_log_std_vs_fire_return_mean_log_std","fire_return_mean_log_std","bchave_log_std",3.64,1.91,0.037
"bchave_log_std_vs_aridity_index_std","aridity_index_std","bchave_log_std",61.99,7.87,0.1
"bchave_log_std_vs_mean_temp_std","mean_temp_std","bchave_log_std",28.65,-5.35,0.038
"bchave_log_std_vs_temp_seasonality_std","temp_seasonality_std","bchave_log_std",0.02,0.16,0.011
"bchave_log_std_vs_total_precip_std","total_precip_std","bchave_log_std",54.91,7.41,0.086
"bchave_log_std_vs_precip_seasonality_std","precip_seasonality_std","bchave_log_std",52.87,7.27,0.236
"bchave_log_std_vs_stems_ha_log_std","stems_ha_log_std","bchave_log_std",102.08,10.1,0.102
"cov_height_std_vs_cation_ex_cap_std","cation_ex_cap_std","cov_height_std",9.15,3.02,0.107
"cov_height_std_vs_aridity_index_std","aridity_index_std","cov_height_std",95.62,9.78,0.161
"cov_height_std_vs_fire_return_mean_log_std","fire_return_mean_log_std","cov_height_std",0.59,-0.77,0.07
"cov_height_std_vs_shannon_cube_std","shannon_cube_std","cov_height_std",25.57,5.06,0.109
"cov_height_std_vs_shannon_equit_std","shannon_equit_std","cov_height_std",0.55,-0.74,0.089
"cov_height_std_vs_sp_rich_raref_std","sp_rich_raref_std","cov_height_std",32.09,5.67,0.096
"cov_height_std_vs_ocdens_std","ocdens_std","cov_height_std",0.6,0.77,0.094
"cov_dbh_std_vs_cation_ex_cap_std","cation_ex_cap_std","cov_dbh_std",33.37,5.78,0.145
"cov_dbh_std_vs_aridity_index_std","aridity_index_std","cov_dbh_std",71.26,8.44,0.21
"cov_dbh_std_vs_fire_return_mean_log_std","fire_return_mean_log_std","cov_dbh_std",1.51,-1.23,0.22
"cov_dbh_std_vs_shannon_cube_std","shannon_cube_std","cov_dbh_std",3.99,2,0.217
"cov_dbh_std_vs_shannon_equit_std","shannon_equit_std","cov_dbh_std",20.4,-4.52,0.185
"cov_dbh_std_vs_sp_rich_raref_std","sp_rich_raref_std","cov_dbh_std",43.89,6.62,0.233
"cov_dbh_std_vs_ocdens_std","ocdens_std","cov_dbh_std",17.92,4.23,0.174
