"mod_name","predic","respon","f_stat","t_stat","r2_stat"
"bchave_log_std_vs_cation_ex_cap_std","cation_ex_cap_std","bchave_log_std",2.61,1.62,0.064
"bchave_log_std_vs_ocdens_std","ocdens_std","bchave_log_std",57.78,7.6,0.192
"bchave_log_std_vs_cov_dbh_std","cov_dbh_std","bchave_log_std",83.65,9.15,0.254
"bchave_log_std_vs_cov_height_std","cov_height_std","bchave_log_std",0.03,0.17,0.087
"bchave_log_std_vs_shannon_log_std","shannon_log_std","bchave_log_std",31.23,5.59,0.153
"bchave_log_std_vs_shannon_equit_log_std","shannon_equit_log_std","bchave_log_std",53.97,7.35,0.166
"bchave_log_std_vs_sp_rich_raref_log_std","sp_rich_raref_log_std","bchave_log_std",103.92,10.19,0.266
"bchave_log_std_vs_fire_return_mean_log_std","fire_return_mean_log_std","bchave_log_std",0.07,0.27,0.112
"bchave_log_std_vs_aridity_index_std","aridity_index_std","bchave_log_std",10.21,3.2,0.049
"bchave_log_std_vs_mean_temp_std","mean_temp_std","bchave_log_std",33.71,-5.81,0.154
"bchave_log_std_vs_temp_seasonality_log_std","temp_seasonality_log_std","bchave_log_std",1.35,-1.16,0.078
"bchave_log_std_vs_isothermality_std","isothermality_std","bchave_log_std",3.99,-2,0.067
"bchave_log_std_vs_total_precip_std","total_precip_std","bchave_log_std",6.73,2.59,0.057
"bchave_log_std_vs_precip_seasonality_log_std","precip_seasonality_log_std","bchave_log_std",29.82,5.46,0.315
"bchave_log_std_vs_stems_ha_log_std","stems_ha_log_std","bchave_log_std",17.38,4.17,0.12
"cov_height_std_vs_cation_ex_cap_std","cation_ex_cap_std","cov_height_std",3.67,1.92,0.294
"cov_height_std_vs_aridity_index_std","aridity_index_std","cov_height_std",22.9,4.79,0.259
"cov_height_std_vs_fire_return_mean_log_std","fire_return_mean_log_std","cov_height_std",0.24,0.49,0.332
"cov_height_std_vs_shannon_log_std","shannon_log_std","cov_height_std",14.86,3.86,0.292
"cov_height_std_vs_shannon_equit_log_std","shannon_equit_log_std","cov_height_std",4.08,-2.02,0.319
"cov_height_std_vs_sp_rich_raref_log_std","sp_rich_raref_log_std","cov_height_std",4.7,2.17,0.253
"cov_height_std_vs_ocdens_std","ocdens_std","cov_height_std",19.7,-4.44,0.356
"cov_dbh_std_vs_cation_ex_cap_std","cation_ex_cap_std","cov_dbh_std",15.16,3.89,0.211
"cov_dbh_std_vs_aridity_index_std","aridity_index_std","cov_dbh_std",41.45,6.44,0.284
"cov_dbh_std_vs_fire_return_mean_log_std","fire_return_mean_log_std","cov_dbh_std",2.78,-1.67,0.26
"cov_dbh_std_vs_shannon_log_std","shannon_log_std","cov_dbh_std",40.71,6.38,0.346
"cov_dbh_std_vs_shannon_equit_log_std","shannon_equit_log_std","cov_dbh_std",0.17,0.41,0.234
"cov_dbh_std_vs_sp_rich_raref_log_std","sp_rich_raref_log_std","cov_dbh_std",36.28,6.02,0.29
"cov_dbh_std_vs_ocdens_std","ocdens_std","cov_dbh_std",0.81,0.9,0.223
