                stat          C1           C2         C3           C4          C5
1               npar          12           12         12           12          12
2               fmin 0.006915033   0.01844187 0.05003465   0.03248867 0.009482556
3              chisq    4.660732     22.83104   7.905475     1.689411    1.118942
4                 df           3            3          3            3           3
5             pvalue   0.1983936 4.379371e-05  0.0480062    0.6392905   0.7725036
6     baseline.chisq    494.6848     1091.542   136.5667     91.01706    101.5904
7        baseline.df          10           10         10           10          10
8    baseline.pvalue           0            0          0 3.330669e-15           0
9                cfi   0.9965736    0.9816641   0.961242            1           1
10               tli   0.9885786    0.9388804  0.8708066     1.053922    1.068459
11              logl   -1854.016    -2838.596   -502.265    -139.5719   -368.1811
12 unrestricted.logl   -1851.685     -2827.18  -498.3122    -138.7272   -367.6216
13               aic    3732.032     5701.191    1028.53     303.1439    760.3622
14               bic    3777.873     5754.328   1056.963      318.241    785.2926
15            ntotal         337          619         79           26          59
16              bic2    3739.807     5716.231   1019.127     280.9937     747.556
17             rmsea  0.04052978    0.1033396  0.1438687            0           0
18    rmsea.ci.lower           0   0.06643806 0.01213941            0           0
19    rmsea.ci.upper   0.1078714    0.1447879  0.2703095    0.2648987   0.1462232
20      rmsea.pvalue   0.4979482   0.01027927 0.08434368     0.662983   0.8090741
21              srmr  0.01597319   0.01722908 0.07258426   0.04836237  0.03358323
