"date","plot_match","lon","lat","mean_sol","max_temp","min_temp","total_net_sol","total_net_clear_sol","precip_ecmwf","lai_predic","CLYPPT_M_sl1_1km_ll","SLTPPT_M_sl1_1km_ll","SNDPPT_M_sl1_1km_ll","ORCDRC_M_sl1_1km_ll","CECSOL_M_sl1_1km_ll","precip_trmm"
2010-01-01,"MAR-030",36.624573,-15.317267,9273239.14285714,303.026123046875,291.5634765625,68115077,50459907.5,0,NA,25,11,65,2,13,0.276433080434799
2010-01-02,"MAR-030",36.624573,-15.317267,8209914.9375,302.88037109375,293.821044921875,75760493,55403368.5,0.00411391258239746,NA,25,11,65,2,13,2.82356643676758
2010-01-03,"MAR-030",36.624573,-15.317267,8022190.9375,302.279296875,294.06591796875,75809471.5,55524403,0.000963211059570312,NA,25,11,65,2,13,6.53566789627075
2010-01-04,"MAR-030",36.624573,-15.317267,8417490.75,302.584716796875,293.164794921875,75764334.5,55649427.5,0.000590324401855469,NA,25,11,65,2,13,0
2010-01-05,"MAR-030",36.624573,-15.317267,7572878.3125,301.94140625,294.33544921875,75926397.5,55373627,0.0229263305664062,NA,25,11,65,2,13,11.5904445648193
2010-01-06,"MAR-030",36.624573,-15.317267,7128674.3125,301.27099609375,293.725616455078,75997578.5,55165839,0.00360250473022461,NA,25,11,65,2,13,2.66560459136963
2010-01-07,"MAR-030",36.624573,-15.317267,7424215.1875,301.525634765625,293.44970703125,75905133,55314442.5,0.00118255615234375,NA,25,11,65,2,13,3.79108238220215
2010-01-08,"MAR-030",36.624573,-15.317267,7862763.8125,301.14111328125,293.1865234375,75943590,55378202.5,0.00178694725036621,NA,25,11,65,2,13,6.91082763671875
2010-01-09,"MAR-030",36.624573,-15.317267,9250698.75,303.884765625,291.59033203125,75490419,56300988,0,NA,25,11,65,2,13,2.56687879562378
2010-01-10,"MAR-030",36.624573,-15.317267,9111241,304.3271484375,291.840576171875,75443037.5,56422591,0,NA,25,11,65,2,13,5.37069988250732
2010-01-11,"MAR-030",36.624573,-15.317267,7551886.625,302.613037109375,294.073974609375,75743971,55731601,0.00238227844238281,NA,25,11,65,2,13,2.38917183876038
2010-01-12,"MAR-030",36.624573,-15.317267,7453975.4375,302.263427734375,293.97265625,75858651,55473668,0.0038909912109375,NA,25,11,65,2,13,1.12547755241394
2010-01-13,"MAR-030",36.624573,-15.317267,7135268,302.266357421875,294.454345703125,75857852.5,55313097.5,0.00527000427246094,NA,25,11,65,2,13,3.37643265724182
2010-01-14,"MAR-030",36.624573,-15.317267,5766837.65625,296.738525390625,293.85302734375,76057047.5,55114071,0.0185177326202393,NA,25,11,65,2,13,9.12229156494141
2010-01-15,"MAR-030",36.624573,-15.317267,5795149.15625,296.87841796875,293.5419921875,76101581.5,54967090,0.0233664512634277,NA,25,11,65,2,13,0
2010-01-16,"MAR-030",36.624573,-15.317267,7471338.375,298.974609375,293.0966796875,76021297,54939257.5,0.0284810066223145,NA,25,11,65,2,13,20.6929912567139
2010-01-17,"MAR-030",36.624573,-15.317267,6358527.9375,296.963623046875,293.43798828125,75984625,54990407,0.0256667137145996,NA,25,11,65,2,13,0.552866160869598
2010-01-18,"MAR-030",36.624573,-15.317267,6393994.375,298.224365234375,293.109619140625,75901325,55212458.5,0.0212750434875488,NA,25,11,65,2,13,2.92229270935059
2010-01-19,"MAR-030",36.624573,-15.317267,6947380.875,298.134765625,293.24951171875,75843579.5,55088850,0.0229504108428955,NA,25,11,65,2,13,2.11273860931396
2010-01-20,"MAR-030",36.624573,-15.317267,7524627.4375,297.5634765625,292.948486328125,75798193,55004360.5,0.0166740417480469,NA,25,11,65,2,13,3.00127363204956
2010-01-21,"MAR-030",36.624573,-15.317267,6635700.6875,299.842041015625,293.253662109375,75666048,55489427.5,0.0205674171447754,NA,25,11,65,2,13,21.3445835113525
2010-01-22,"MAR-030",36.624573,-15.317267,7185850.6875,298.914794921875,293.0166015625,75564845.5,55568792.5,0.0152850151062012,NA,25,11,65,2,13,4.2057318687439
2010-01-23,"MAR-030",36.624573,-15.317267,7822500.8125,300.402587890625,292.727783203125,75514330,55257711,0.0115481615066528,NA,25,11,65,2,13,3.85031795501709
