"plotcode","fire_return_mean"
"ABG-001",NaN
"ABG-002",589
"ABG-003",625.5
"ABG-004",1293.25
"ACM-001",NaN
"ACM-002",NaN
"ACM-003",NaN
"ACM-004",746.5
"ACM-005",1489
"ACM-006",1489
"ACM-007",370
"ACM-008",1473
"ACM-009",NaN
"ACM-010",548
"ACM-011",981
"ACM-012",910.666666666667
"ACM-013",1366
"ACM-014",780
"ACM-015",914.75
"ACM-016",1219.66666666667
"ACM-017",850.333333333333
"ACM-018",735.625
"ACM-020",NaN
"ACM-021",NaN
"ACM-022",671.5
"ACM-023",363.666666666667
"ACM-024",1473
"ACM-025",588.4
"ACM-026",363.666666666667
"ACM-027",363.666666666667
"ACM-028",588.4
"ACM-029",588.4
"ACM-030",981
"ACM-031",737.666666666667
"ACM-032",737.666666666667
"ACM-033",526.714285714286
"ACM-034",2943
"ACM-035",737.666666666667
"ACM-036",445.444444444444
"ACM-037",500.875
"ACM-038",500.875
"ACM-039",500.875
"ACM-040",483.666666666667
"ACM-042",790.666666666667
"ACM-043",790.666666666667
"ACM-044",528.444444444444
"ACM-045",790.666666666667
"ACM-046",790.666666666667
"ACM-047",1660.5
"ACM-048",790.666666666667
"ACM-049",528.444444444444
"ACM-050",1660.5
"ACM-051",1660.5
"ACM-052",744.5
"ACM-053",1471
"ACM-054",3700
"ACM-055",3700
"ACM-056",743
"ACM-057",743
"ACM-058",743
"ACM-059",NaN
"ACM-060",NaN
"ACM-061",NaN
"CBN-1",1084
"CBN-2",676
"CBN-3",1094.2
"CBN-4",883.714285714286
"CBN-5",562.090909090909
"CBN-6",481.333333333333
"DKS001",1827
"DKS002",361.5
"DKS003",914.5
"MAR-001",563.818181818182
"MAR-002",563.818181818182
"MAR-003",364.529411764706
"MAR-004",364.529411764706
"MAR-005",392.461538461538
"MAR-006",488.333333333333
"MAR-007",443.555555555556
"MAR-008",435.727272727273
"MAR-009",583.3
"MAR-010",583.3
"MAR-011",530.818181818182
"MAR-012",486.5
"MAR-013",519.083333333333
"MAR-014",692.666666666667
"MAR-015",567.333333333333
"MAR-016",519.333333333333
"MAR-018",479.153846153846
"MAR-019",479.153846153846
"MAR-020",779
"MAR-021",779
"MAR-022",389.375
"MAR-023",479.153846153846
"MAR-024",977.5
"MAR-025",886.285714285714
"MAR-026",389.3125
"MAR-027",390.2
"MAR-028",390.2
"MAR-030",418.071428571429
"MAR-031",418.071428571429
"MAR-032",1186.75
"MAR-033",1186.75
"MAR-034",573.777777777778
"MAR-035",573.777777777778
"MAR-036",1185.5
"MAR-037",1291.75
"MAR-038",1291.75
"MAR-039",NaN
"MAR-040",2549
"MAR-041",4746
"MAR-042",1718
"MAR-043",563
"MAR-044",652
"MAR-045",652
"MAR-046",1085
"MAR-047",725
"MAR-048",1848
"MAR-049",1848
"MAR-050",1618
"MAR-051",1225.33333333333
"MAR-052",1644
"MAR-053",1463.33333333333
"MAR-054",2580
"MAR-056",367.071428571429
"MAR-057",367.071428571429
"MAR-058",1006.5
