"date","plot_match","lon","lat","wind_speed_mean","lai_high_mean","lai_low_mean","temp_mean","max_temp","min_temp","vpd_mean","surf_net_sol_sum","surf_net_sol_clear_sum","top_net_sol_sum","top_net_sol_clear_sum","cloud_mean","precip_sum","CLYPPT_M_sl1_1km_ll","CLYPPT_M_sl7_1km_ll","SLTPPT_M_sl1_1km_ll","SLTPPT_M_sl7_1km_ll","SNDPPT_M_sl1_1km_ll","SNDPPT_M_sl7_1km_ll","ORCDRC_M_sl1_1km_ll","ORCDRC_M_sl7_1km_ll","CECSOL_M_sl1_1km_ll","CECSOL_M_sl7_1km_ll"
2016-01-01,"MAR-030",36.624573,-15.317267,2.1408106372387,2.4231475528471,1.98346505991614,298.731153354499,302.908996097256,293.975309060086,-0.0971818259806664,10449935.4606687,12710666.2475394,15221114.4899821,17399076.8571559,0.327402479158083,0.000248762524850316,25,36,11,10,65,54,2,2,13,12
2016-01-02,"MAR-030",36.624573,-15.317267,1.84411498407144,2.42696472832032,1.98789193996349,300.321189234004,303.807829399296,293.277664021814,-0.149763904185085,12117346.9488655,12881406.6083347,16641533.2733127,17351840.6343064,0.126212493451137,6.41442570542168e-05,25,36,11,10,65,54,2,2,13,12
2016-01-03,"MAR-030",36.624573,-15.317267,3.10782007785,2.43070578269409,1.99229727753356,299.281678344406,303.246429074306,294.077647613395,-0.138035129474545,10644005.6325821,12993296.1247616,15088334.5016404,17310675.8221964,0.482174375251146,4.58260278714817e-05,25,36,11,10,65,54,2,2,13,12
2016-01-04,"MAR-030",36.624573,-15.317267,2.9039720763887,2.43451393634298,1.99674500820908,298.199506644416,302.549062821582,292.964908837526,-0.103461876979591,10586562.02646,12898493.4149207,15125228.9229549,17330127.7946683,0.578161638665507,0.00029854667295336,25,36,11,10,65,54,2,2,13,12
2016-01-05,"MAR-030",36.624573,-15.317267,1.93064380608708,2.43831594950105,2.00115993759898,299.142559617376,302.873899753132,294.108562330767,-0.108609448235652,10044648.5526376,12776628.8793738,14822935.8526544,17350823.1385104,0.603407189253252,0.000760052861290265,25,36,11,10,65,54,2,2,13,12
2016-01-06,"MAR-030",36.624573,-15.317267,0.860667709904627,2.44204161927384,2.00555319955343,299.438891624785,303.515866358637,293.894038428345,-0.105260520349389,9380481.02934399,12754827.1704332,14162414.2609067,17349746.8158027,0.507750548069929,0.000732707047384974,25,36,11,10,65,54,2,2,13,12
2016-01-07,"MAR-030",36.624573,-15.317267,2.32476762350089,2.44585059345548,2.00996176476962,300.986672073515,305.419850133801,294.970936652718,-0.127676349310292,10993540.9221003,12757292.0645171,15680405.5966917,17346571.9536722,0.639831586122005,0.000992821808138426,25,36,11,10,65,54,2,2,13,12
2016-01-08,"MAR-030",36.624573,-15.317267,0.816387920954221,2.44962227422187,2.01436523324494,300.671361759404,306.693850208191,296.027549425242,-0.119809681386616,10609410.51867,12740503.5889704,15257103.1178795,17345189.0153663,0.561813640964603,0.00160879014316305,25,36,11,10,65,54,2,2,13,12
2016-01-09,"MAR-030",36.624573,-15.317267,2.9691206866358,2.45339576789065,2.01881057232983,299.098251980681,302.219192618277,294.631453647474,-0.101085311108483,9781679.23849053,12760927.7270383,14454645.6186654,17323987.4393664,0.849466426584062,0.00102495846281137,25,36,11,10,65,54,2,2,13,12
2016-01-10,"MAR-030",36.624573,-15.317267,2.87151925524408,2.45718938913773,2.02320687069009,299.07936889179,303.365450811235,293.549868489044,-0.116835115391078,11213073.0085911,12837345.8423695,15807906.5504097,17297729.1123556,0.485300026958428,4.99999410562089e-05,25,36,11,10,65,54,2,2,13,12
